x,x_ave,y,y_ave,z,z_ave
-2.674384865800671,-2.6455390456624417,4.9436503096942,4.895154041897082,13.976923530601029,13.908730576256271
-2.674384865800671,-2.6455027199104872,4.9436503096942,4.8950510771048235,13.976923530601029,13.908634950409716
-2.674384865800671,-2.645458748398743,4.9436503096942,4.894926558224892,13.976923530601029,13.908519350112547
-2.674384865800671,-2.645406449759683,4.9436503096942,4.894778611233856,13.976923530601029,13.90838205573697
-2.674384865800671,-2.6453451350402646,4.9436503096942,4.894605352145098,13.976923530601029,13.908221342416146
-2.674384865800671,-2.645274111062906,4.9436503096942,4.894404897569514,13.976923530601029,13.908035490154317
-2.674384865800671,-2.645192683854362,4.9436503096942,4.894175375461638,13.976923530601029,13.907822794093706
-2.674384865800671,-2.6451001621131107,4.9436503096942,4.893914935959063,13.976923530601029,13.90758157484867
-2.674384865800671,-2.644995860685496,4.9436503096942,4.893621762221768,13.976923530601029,13.907310188816489
-2.6702000290203283,-2.6448815333101705,4.937102369161663,4.893301000170931,13.967383051909621,13.907013476646194
-2.6702000290203283,-2.6447570178924575,4.937102369161663,4.892952348189201,13.967383051909621,13.906691212240565
-2.6702000290203283,-2.6446222011839944,4.937102369161663,4.8925756576892026,13.967383051909621,13.906343315887941
-2.6649854362587426,-2.644477020231313,4.9310227002596,4.892170937208234,13.957604899838397,13.905969857890259
-2.6649854362587426,-2.6443214633959986,4.9310227002596,4.891738355166312,13.957604899838397,13.90557106089515
-2.6649854362587426,-2.6441555709356965,4.9310227002596,4.8912782412533655,13.957604899838397,13.905147300900289
-2.6649854362587426,-2.643979435140175,4.9310227002596,4.890791086426483,13.957604899838397,13.904699106912739
-2.6649854362587426,-2.64379320002167,4.9310227002596,4.890277541513433,13.957604899838397,13.904227159260966
-2.6649854362587426,-2.643596898104889,4.9310227002596,4.889737949490397,13.957604899838397,13.903731853071937
-2.657777065890552,-2.643390578961559,4.926026747857156,4.889172713163646,13.946864005007248,13.903213640834261
-2.657777065890552,-2.643174306304213,4.926026747857156,4.888582286291207,13.946864005007248,13.902673023719935
-2.657777065890552,-2.642948154943971,4.926026747857156,4.887967164253437,13.946864005007248,13.90211054246685
-2.650513001144522,-2.6427122076553524,4.92291585839627,4.887327874400603,13.93607633358885,13.90152676794546
-2.650513001144522,-2.6424665519925044,4.92291585839627,4.886664966209681,13.93607633358885,13.900922291536956
-2.650513001144522,-2.6422112771019592,4.92291585839627,4.8859790013849,13.93607633358885,13.900297715452554
-2.650513001144522,-2.641946470577187,4.92291585839627,4.885270544037097,13.93607633358885,13.899653643124049
-2.650513001144522,-2.641672226264183,4.92291585839627,4.8845401823191406,13.93607633358885,13.898990698984555
-2.6454201901522056,-2.641388643473822,4.9206736586641755,4.883788525277788,13.926160296692043,13.898309525084045
-2.6454201901522056,-2.6410958263958184,4.9206736586641755,4.883016200236715,13.926160296692043,13.897610778201686
-2.6454201901522056,-2.6407938837273113,4.9206736586641755,4.882223850749053,13.926160296692043,13.896895127493035
-2.6454201901522056,-2.640482928525244,4.9206736586641755,4.881412135146566,13.926160296692043,13.896163252699514
-2.6454201901522056,-2.640163078287806,4.9206736586641755,4.880581725701048,13.926160296692043,13.895415842936597
-2.6454201901522056,-2.6398344552661808,4.9206736586641755,4.8797333084015895,13.926160296692043,13.89465359606577
-2.64191708432705,-2.639497187003792,4.917983964995784,4.878867583339539,13.917419433926025,13.893877218644077
-2.64191708432705,-2.6391514063696864,4.917983964995784,4.877985263581641,13.917419433926025,13.893087424468137
-2.64191708432705,-2.63879725166201,4.917983964995784,4.877087074197945,13.917419433926025,13.892284933275187
-2.64191708432705,-2.6384348667690767,4.917983964995784,4.876173751409225,13.917419433926025,13.89147046956965
-2.6387392752579295,-2.63806440137438,4.9137513752986735,4.87524604181556,13.909789031863749,13.890644761540758
-2.6387392752579295,-2.6376860111911236,4.9137513752986735,4.874304701665504,13.909789031863749,13.889808540034585
-2.6387392752579295,-2.6372998582113194,4.9137513752986735,4.87335049612408,13.909789031863749,13.888962537542747
-2.6387392752579295,-2.6369061109543552,4.9137513752986735,4.872384198497583,13.909789031863749,13.888107487169597
-2.6361816415053445,-2.6365049447001088,4.906326673571262,4.871406589373957,13.901840696104825,13.887244121540522
-2.6361816415053445,-2.6360965417407543,4.906326673571262,4.8704184557803405,13.901840696104825,13.88637317174793
-2.6361816415053445,-2.635681091646793,4.906326673571262,4.869420590347324,13.901840696104825,13.88549536632622
-2.6361816415053445,-2.635258791543551,4.906326673571262,4.8684137904718625,13.901840696104825,13.884611430249183
-2.634934775868942,-2.6348298463952187,4.894828119879971,4.8673988574733755,13.891779593299674,13.88372208394579
-2.634934775868942,-2.6343944692943775,4.894828119879971,4.866376595740404,13.891779593299674,13.88282804233271
-2.634934775868942,-2.6339528817558695,4.894828119879971,4.865347811868068,13.891779593299674,13.881930013864723
-2.634934775868942,-2.63350531401479,4.894828119879971,4.864313313789501,13.891779593299674,13.881028699606674
-2.634501517456934,-2.6330520053292856,4.880689202057339,4.863273909907309,13.880548183319128,13.880124792333454
-2.634501517456934,-2.632593204286447,4.880689202057339,4.862230408224296,13.880548183319128,13.879218975657812
-2.634501517456934,-2.6321291691097786,4.880689202057339,4.8611836154735695,13.880548183319128,13.878311923186597
-2.634501517456934,-2.6316601679668863,4.880689202057339,4.8601343362486285,13.880548183319128,13.877404297706551
-2.634501517456934,-2.6311864792760873,4.880689202057339,4.859083372134616,13.880548183319128,13.876496750400925
-2.634501517456934,-2.6307083920107015,4.880689202057339,4.858031520842099,13.880548183319128,13.875589920098616
-2.635359286166984,-2.6302262059997403,4.866506390613793,4.856979575344822,13.870310560760213,13.874684432557226
-2.635359286166984,-2.6297402322236065,4.866506390613793,4.8559283230227415,13.870310560760213,13.87378089978144
-2.635359286166984,-2.629250793103279,4.866506390613793,4.854878544811356,13.870310560760213,13.872879919377587
-2.635359286166984,-2.6287582227814457,4.866506390613793,4.853831014358406,13.870310560760213,13.871982073945345
-2.6375872596275602,-2.6282628673940636,4.852945004929639,4.852786497189149,13.861355035222044,13.871087930507514
-2.6375872596275602,-2.62776508533077,4.852945004929639,4.851745749881432,13.861355035222044,13.870198039978701
-2.6375872596275602,-2.6272652474826055,4.852945004929639,4.850709519251746,13.861355035222044,13.869312936673712
-2.6375872596275602,-2.626763737475435,4.852945004929639,4.849678541553477,13.861355035222044,13.868433137856325
-2.6375872596275602,-2.6262609518874807,4.852945004929639,4.8486535416885195,13.861355035222044,13.86755914332894
-2.6375872596275602,-2.6257573004493535,4.852945004929639,4.847635232433374,13.861355035222044,13.866691435063682
-2.6394210333584733,-2.625253206224988,4.83949671198196,4.8466243136808975,13.852395366859595,13.8658304768752
-2.6394210333584733,-2.6247491057718966,4.83949671198196,4.845621471698834,13.852395366859595,13.864976714135533
-2.6394210333584733,-2.6242454492791842,4.83949671198196,4.844627378406216,13.852395366859595,13.864130573531217
-2.6394210333584733,-2.623742700681777,4.83949671198196,4.843642690668783,13.852395366859595,13.8632924628627
-2.6401437079497647,-2.62324133774936,4.8273942437082855,4.84266804961443,13.843109316272939,13.86246277088611
-2.6401437079497647,-2.62274185214855,4.8273942437082855,4.84170407996976,13.843109316272939,13.86164186719721
-2.6401437079497647,-2.622244749476882,4.8273942437082855,4.840751389418746,13.843109316272939,13.86083010215744
-2.6401437079497647,-2.6217505492672277,4.8273942437082855,4.8398105679844905,13.843109316272939,13.860027806861675
-2.637963977304154,-2.6212597849613393,4.817197482114485,4.838882187435025,13.834891783054148,13.859235293147403
-2.637963977304154,-2.620773003851251,4.817197482114485,4.837966800714087,13.834891783054148,13.85845285364478
-2.637963977304154,-2.62029076698737,4.817197482114485,4.837064941397734,13.834891783054148,13.857680761867064
-2.637963977304154,-2.619813649052138,4.817197482114485,4.8361771231776585,13.834891783054148,13.856919272340773
-2.637963977304154,-2.6193422381982407,4.817197482114485,4.835303839371983,13.834891783054148,13.856168620774813
-2.637963977304154,-2.6188771358504224,4.817197482114485,4.834445562464322,13.834891783054148,13.85542902426777
-2.6323296594694074,-2.6184189564700593,4.80829128714796,4.8336027436718085,13.829347789353411,13.85470068155248
-2.6323296594694074,-2.617968327281743,4.80829128714796,4.832775812542745,13.829347789353411,13.853983773276891
-2.6323296594694074,-2.617525887961215,4.80829128714796,4.831965176584547,13.829347789353411,13.85327846232015
-2.6323296594694074,-2.617092290284113,4.80829128714796,4.831171220922499,13.829347789353411,13.852584894142785
-2.6323296594694074,-2.6166681977350974,4.80829128714796,4.83039430798989,13.829347789353411,13.851903197169795
-2.6323296594694074,-2.6162542850770185,4.80829128714796,4.829634777249971,13.829347789353411,13.851233483205322
-2.6323296594694074,-2.61585123787994,4.80829128714796,4.828892944950196,13.829347789353411,13.850575847877632
-2.6270538186869845,-2.615459752009911,4.800443717323516,4.828169103909073,13.826575065323878,13.849930371112945
-2.6270538186869845,-2.615080533077531,4.800443717323516,4.827463523335969,13.826575065323878,13.849297117636654
-2.6270538186869845,-2.6147142958464586,4.800443717323516,4.826776448684128,13.826575065323878,13.848676137500423
-2.6270538186869845,-2.6143617636021452,4.800443717323516,4.826108101537092,13.826575065323878,13.848067466633596
-2.6270538186869845,-2.614023667481201,4.800443717323516,4.825458679528707,13.826575065323878,13.847471127417252
-2.6232108417497826,-2.613700745761925,4.793294287845666,4.824828356296771,13.824200820955364,13.846887129279276
